Project Geographic District ,Project Building Identifier,Project School Name,Project Type ,Project Description,Project Phase Name,Project Status Name,Project Phase Actual Start Date,Project Phase Planned End Date,Project Phase Actual End Date,Project Budget Amount,Final Estimate of Actual Costs Through End of Phase Amount,Total Phase Actual Spending Amount,DSF Number(s)
9,X109,P.S. 109 - BRONX,DOE - RESOA,FY25 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,375000.00,0.00,DSF0001113356
9,X109,P.S. 109 - BRONX,DOE - Skilled Trades,WATER HEATERS,Construction,In-Progress,4/4/2017,DOES,,DOES,185872.00,0.00,DSF0000795508
9,X110,P.S. 110 - BRONX,SCA CIP,REPAIR RETAINING WALLS,Scope,Complete,8/2/2018,12/19/2018,12/3/2018,15503,149774.00,142473.00,DSF0001085148
9,X110,P.S. 110 - BRONX,SCA CIP,REPAIR RETAINING WALLS,Design,Complete,5/3/2022,5/12/2023,5/10/2023,77514,81387.00,74878.00,DSF0001085148
9,X110,P.S. 110 - BRONX,SCA CIP,REPAIR RETAINING WALLS,Construction,PNS,PNS,PNS,PNS,1744061,1744061.00,82841.00,DSF0001085148
9,X110,P.S. 110 - BRONX,SCA CIP,REPAIR RETAINING WALLS,"CM,F&E",PNS,PNS,PNS,PNS,108519,108519.00,25767.00,DSF0001085148
9,X110,P.S. 110 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / FIRE ALARM / PARAPETS / EXTERIOR MASONRY,Scope,Complete,5/28/2019,11/16/2022,2/8/2023,150499,178850.00,176193.00,"DSF0000912343, DSF0001002907, DSF0001030116, DSF0001030117"
9,X110,P.S. 110 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / FIRE ALARM / PARAPETS / EXTERIOR MASONRY,Design,Complete,2/9/2023,7/13/2023,5/11/2023,748896,686827.00,556366.00,"DSF0000912343, DSF0001002907, DSF0001030116, DSF0001030117"
9,X110,P.S. 110 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / FIRE ALARM / PARAPETS / EXTERIOR MASONRY,Construction,In-Progress,2/5/2024,8/2/2026,,16538847,15222389.00,2912449.00,"DSF0000912343, DSF0001002907, DSF0001030116, DSF0001030117"
9,X110,P.S. 110 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / FIRE ALARM / PARAPETS / EXTERIOR MASONRY,"CM,F&E",In-Progress,2/5/2024,8/2/2026,,1080486,254269.00,240929.00,"DSF0000912343, DSF0001002907, DSF0001030116, DSF0001030117"
9,X110,P.S. 110 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,7/6/2023,11/3/2023,7/18/2023,5400,1147.00,1147.00,DSF0001035043
9,X110,P.S. 110 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/18/2023,1/16/2024,10/11/2023,24300,4588.00,4588.00,DSF0001035043
9,X110,P.S. 110 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2/2/2024,11/27/2024,,313200,281947.00,2747.00,DSF0001035043
9,X110,P.S. 110 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2/2/2024,11/27/2024,,127919,104534.00,87381.00,DSF0001035043
9,X110,P.S. 110 - BRONX,SCA Emergency Response,EMERGENCY STABILIZATION,Construction,In-Progress,8/1/2018,EMER,,EMER,,0.00,SCA0000053026
9,X110,P.S. 110 - BRONX,SCA IEH,"PO18-ABATE WALL TILES GROUT AND RADIATOR INSULATION AND PIPE INSULATION G20, G24 *",Construction,Complete,1/7/2025,IEH,2/17/2025,IEH,32956.00,3499.00,SCA0000073774
9,X110,P.S. 110 - BRONX,Fast Track Projects,ELECTRICAL WORK FOR A/C INITIATIVE,Construction,In-Progress,8/10/2020,FTK,,FTK,366976.00,352997.00,DSF0000911986
9,X110,P.S. 110 - BRONX,DIIT - RESOA,FY 11 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,DIIR,79187.00,0.00,DSF0000801059
9,X110,P.S. 110 - BRONX,DOE - RESOA,FY22 RESO A FENCING,Construction,In-Progress,10/15/2022,DOER,,DOER,181144.00,0.00,DSF0001034064
9,X110,M.S. 128 - BRONX,DOE - RESOA,FY23 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,892001.00,0.00,DSF0001036225
9,X110,P.S. 110 - BRONX,DOE - RESOA,RESO A WATER FOUNTAIN UPGRADES,Construction,In-Progress,6/28/2024,DOER,,DOER,60376.00,0.00,DSF0001087228
9,X110,P.S. 110 - BRONX,DOE - RESOA,FY25 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,175000.00,0.00,DSF0001113357
9,X114,P.S. 114 - BRONX,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,9/28/2018,3/6/2019,11/15/2018,99750,96530.00,96530.00,"DSF0000798352, DSF0000795596"
9,X114,P.S. 114 - BRONX,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,11/30/2018,5/3/2019,4/12/2019,399000,422769.00,412773.00,"DSF0000798352, DSF0000795596"
9,X114,P.S. 114 - BRONX,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,7/22/2019,7/20/2021,,7481250,7401620.00,6492076.00,"DSF0000798352, DSF0000795596"
9,X114,P.S. 114 - BRONX,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,7/22/2019,7/20/2021,,465500,1452301.00,1414644.00,"DSF0000798352, DSF0000795596"
9,X114,P.S. 114 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,Scope,Complete,7/6/2023,11/3/2023,7/18/2023,4136,1074.00,1074.00,DSF0001035057
9,X114,P.S. 114 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,Design,Complete,7/18/2023,1/16/2024,10/11/2023,18612,4296.00,4296.00,DSF0001035057
9,X114,P.S. 114 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,Construction,In-Progress,2/2/2024,11/27/2024,,239888,218456.00,3088.00,DSF0001035057
9,X114,P.S. 114 - BRONX,SCA CIP,IPDVS CAMERA INSTALLATION,"CM,F&E",In-Progress,2/2/2024,11/27/2024,,108744,90698.00,77813.00,DSF0001035057
9,X114,P.S. 114 - BRONX,DIIT - RESOA,FY25 RESO A TECHNOLOGY UPGRADE,Purch & Install,PNS,PNS,PNS,PNS,DIIR,100000.00,0.00,DSF0001113361
9,X114,P.S. 114 - BRONX,DOE - RESOA,FY23 RESO A CAFETERIA UPGRADE,Construction,PNS,PNS,PNS,PNS,DOER,150000.00,0.00,DSF0001036231
9,X117,I.S. 117 - BRONX,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Scope,Complete,8/17/2020,1/21/2021,1/4/2021,74140,93994.00,93994.00,"DSF0000961019, DSF0000953914"
9,X117,I.S. 117 - BRONX,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Design,Complete,1/5/2021,7/30/2021,7/28/2021,370700,386869.00,367477.00,"DSF0000961019, DSF0000953914"
9,X117,I.S. 117 - BRONX,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,Construction,In-Progress,6/15/2022,6/13/2024,,8340750,7668158.00,6068271.00,"DSF0000961019, DSF0000953914"
9,X117,I.S. 117 - BRONX,SCA CIP,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL,"CM,F&E",In-Progress,6/15/2022,6/13/2024,,518980,754477.00,730757.00,"DSF0000961019, DSF0000953914"
9,X117,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX - BRONX,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0000822725
9,X117,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX - BRONX,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,Design,PNS,PNS,PNS,PNS,60027,60027.00,0.00,DSF0000822725
9,X117,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX - BRONX,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,Construction,PNS,PNS,PNS,PNS,880400,880400.00,0.00,DSF0000822725
9,X117,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX - BRONX,SCA CIP RESOA,FY16 RESO A SCIENCE LAB UPGRADES,"CM,F&E",PNS,PNS,PNS,PNS,60027,60027.00,0.00,DSF0000822725
9,X117,I.S. 117 - BRONX,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113695
9,X117,I.S. 117 - BRONX,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113695
9,X117,I.S. 117 - BRONX,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113695
9,X117,I.S. 117 - BRONX,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113695
9,X117,I.S. 117 - BRONX,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,Scope,In-Progress,2/4/2025,6/5/2025,,0,76.00,76.00,DSF0001113364
9,X117,I.S. 117 - BRONX,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,Design,PNS,PNS,PNS,PNS,135000,134924.00,305.00,DSF0001113364
9,X117,I.S. 117 - BRONX,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,1980000,1980000.00,0.00,DSF0001113364
9,X117,I.S. 117 - BRONX,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,135000,135000.00,0.00,DSF0001113364
9,X117,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX - BRONX,DOE - RESOA,FY23 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,300620.00,0.00,DSF0001036234
9,X117,YOUNG WOMEN'S LEADERSHIP SCHOOL OF THE BRONX - BRONX,DOE - RESOA,FY24 RESO A GYMNASIUM UPGRADE,Construction,In-Progress,2/19/2024,DOER,,DOER,131015.00,0.00,DSF0001086754
9,X117,I.S. 117 - BRONX,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,10/17/2024,DOES,11/25/2024,DOES,65832.00,,DSF0001085055
9,X126,P.S. 126 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Scope,Complete,11/10/2021,3/31/2022,1/19/2023,118408,202309.00,199803.00,"DSF0001034195, DSF0001081137"
9,X126,P.S. 126 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Design,Complete,1/20/2023,7/10/2023,9/12/2024,592044,399461.00,379995.00,"DSF0001034195, DSF0001081137"
9,X126,P.S. 126 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,Construction,PNS,PNS,PNS,PNS,13321004,13321004.00,214279.00,"DSF0001034195, DSF0001081137"
9,X126,P.S. 126 - BRONX,SCA CIP,FULL PROGRAM ACCESSIBILITY / LOW VOLTAGE ELECTRICAL SYSTEMS,"CM,F&E",PNS,PNS,PNS,PNS,828862,828862.00,42679.00,"DSF0001034195, DSF0001081137"
9,X126,P.S. 126 - BRONX,SCA CIP,ROOFS / PARAPETS / FLOOD ELIMINATION / EXTERIOR MASONRY,Scope,Complete,12/12/2023,4/29/2024,9/25/2024,212590,211248.00,210625.00,"DSF0001109105, DSF0001136764, DSF0001136761, DSF0001136765"
9,X126,P.S. 126 - BRONX,SCA CIP,ROOFS / PARAPETS / FLOOD ELIMINATION / EXTERIOR MASONRY,Design,In-Progress,11/6/2024,4/11/2025,,987507,987507.00,179677.00,"DSF0001109105, DSF0001136764, DSF0001136761, DSF0001136765"
9,X126,P.S. 126 - BRONX,SCA CIP,ROOFS / PARAPETS / FLOOD ELIMINATION / EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,15618344,15618344.00,50605.00,"DSF0001109105, DSF0001136764, DSF0001136761, DSF0001136765"
9,X126,P.S. 126 - BRONX,SCA CIP,ROOFS / PARAPETS / FLOOD ELIMINATION / EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,1609915,1609915.00,77432.00,"DSF0001109105, DSF0001136764, DSF0001136761, DSF0001136765"
9,X126,P.S. 126 - BRONX,SCA IEH,PO18-ABATE BATHROOM WALL IN ROOM 232 APPROX. 18 1/2 X 30,Construction,In-Progress,7/27/2023,IEH,,IEH,1022.00,272.00,SCA0000072169
9,X126,P.S. 126 - BRONX,SCA IEH,PO18-REMOVE 12' OF ACM IN BASEMENT CRAWLSPACE BOILER ROOM #4. SPRAYED BLACK FOR ID.,Construction,Complete,11/4/2024,IEH,11/5/2024,IEH,12056.00,7181.00,SCA0000073563
9,X126,P.S. 126 - BRONX,SCA IEH,PO18-ABATE FUEL OIL PIPE INSULATION FOR BOILER CONVERSION LOCATION IS MARKED AT BOILER AND PUMP SET,Construction,In-Progress,2/25/2025,IEH,,IEH,9657.00,123.00,SCA0000073974
9,X126,P.S. 126 - BRONX,DIIT - RESOA,FY 11 RESO A TECHNOLOGY,Purch & Install,PNS,PNS,PNS,PNS,DIIR,59397.00,0.00,DSF0000801057
9,X126,P.S. 126 - BRONX,DOE - RESOA,FY22 RESO A LIBRARY UPGRADE,Construction,In-Progress,6/1/2023,DOER,,DOER,27535.00,0.00,DSF0001034067
9,X126,P.S. 126 - BRONX,DOE - RESOA,FY23 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,220677.00,0.00,DSF0001036239
9,X126,P.S. 126 - BRONX,DOE - Skilled Trades,WATER HEATERS,Construction,In-Progress,4/4/2017,DOES,,DOES,188137.00,0.00,DSF0000795813
9,X132,P.S. 132 - BRONX,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113699
9,X132,P.S. 132 - BRONX,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113699
9,X132,P.S. 132 - BRONX,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113699
9,X132,P.S. 132 - BRONX,SCA CIP RESOA,PATH OF TRAVEL RESO A LIBRARY UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001113699
9,X132,P.S. 132 - BRONX,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,Scope,In-Progress,3/5/2025,7/7/2025,,0,591.00,591.00,DSF0001113374
9,X132,P.S. 132 - BRONX,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,Design,PNS,PNS,PNS,PNS,36000,35409.00,2364.00,DSF0001113374
9,X132,P.S. 132 - BRONX,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,Construction,PNS,PNS,PNS,PNS,528000,528000.00,0.00,DSF0001113374
9,X132,P.S. 132 - BRONX,SCA CIP RESOA,FY25 RESO A LIBRARY UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,36000,36000.00,0.00,DSF0001113374
9,X132,P.S. 132 - BRONX,DOE - RESOA,FY23 RESO A HYDROPONICS LAB,Construction,PNS,PNS,PNS,PNS,DOER,175000.00,0.00,DSF0001035285
9,X132,P.S. 132 - BRONX,DOE - Skilled Trades,ACE HOT WATER HEATER,Construction,In-Progress,10/13/2023,DOES,,DOES,177587.00,0.00,DSF0000819092
9,X132,P.S. 132 - BRONX,DOE - Skilled Trades,ADA SHELTER COMPLIANCE,Construction,In-Progress,7/20/2018,DOES,,DOES,353643.00,0.00,DSF0000889373
9,X132,P.S. 132 - BRONX,DOE - Skilled Trades,ACE 6- WIRELESS PNEUMATIC THERMOSTATS,Construction,In-Progress,1/20/2021,DOES,,DOES,85761.00,0.00,DSF0000960494
9,X145,NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,SCA IEH,PO18-REMOVE 5' OF ACM PIPE INSULATION IN FAN ROOM SPACE ID #3217,Construction,Complete,1/7/2025,IEH,1/19/2025,IEH,16577.00,1873.00,SCA0000073776
9,X145,NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,Fast Track Projects,ELECTRICAL WORK FOR A/C INITIATIVE / LSP LL26 CODE COMPLIANCE/EXIT SIGN REPLACEMENT,Construction,Complete,9/10/2019,FTK,9/3/2021,FTK,142933.00,141396.00,"DSF0000868260, DSF0000912402"
9,X145,M.S. 593 - BRONX,Fast Track Projects,CTF CHARTER MATCH ROOM CONVERSION / PATH OF TRAVEL CTF ROOM CONVERSION,Construction,Complete,2/2/2021,FTK,12/6/2022,FTK,503093.00,373660.00,"DSF0000913033, DSF0000960465"
9,X145,M.S. 594 - BRONX,DIIT - RESOA,FY20 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,125000.00,0.00,DSF0000914200
9,X145,M.S. 593 - BRONX,DIIT - RESOA,FY21 RESO A TECHNOLOGY UPGRADE,Purch & Install,Complete,3/14/2021,DIIR,11/20/2024,DIIR,50000.00,50000.00,DSF0001007930
9,X145,NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,DOE - RESOA,FY21 RESO A COURTYARD UPGRADE,Construction,In-Progress,6/29/2023,DOER,,DOER,315765.00,0.00,DSF0001008466
9,X145,I.S. 145 - BRONX,DOE - Skilled Trades,WATER HEATERS,Construction,In-Progress,1/15/2016,DOES,,DOES,172211.00,0.00,DSF0000796122
9,X145,NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,DOE - Skilled Trades,ACE STEAM SYSTEM OPTIMIZATION,Construction,In-Progress,9/30/2022,DOES,,DOES,441452.00,0.00,DSF0001034467
9,X145,NEW MILLENNIUM BRONX ACADEMY OF THE ARTS - BRONX,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,11/6/2024,DOES,11/20/2024,DOES,65832.00,,DSF0001085059
9,X147,I.S. 339 - BRONX,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Scope,Complete,6/15/2023,10/16/2023,9/22/2023,9899,16018.00,12505.00,DSF0001083796
9,X147,I.S. 339 - BRONX,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Design,Complete,10/4/2023,3/5/2024,4/4/2024,44546,61332.00,53347.00,DSF0001083796
9,X147,I.S. 339 - BRONX,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,Construction,In-Progress,9/25/2024,9/24/2025,,574142,542407.00,35912.00,DSF0001083796
9,X147,I.S. 339 - BRONX,SCA CIP,WALK-IN REFRIGERATORS AND FREEZERS,"CM,F&E",In-Progress,9/25/2024,9/24/2025,,106414,76307.00,22852.00,DSF0001083796
9,X147,I.S. 339 - BRONX,SCA IEH,PO18-ABATE/REPLACE ACM FLOOR TILES ROOM 232,Construction,Complete,8/9/2024,IEH,10/1/2024,IEH,302.00,302.00,SCA0000073269
9,X147,I.S. 339 - BRONX,SCA IEH,PO18-STAIRCASE D BETWEEN 4TH FLOOR AND 3RD FLOOR LANDING DAMAGE FLOOR TILE (TRIP HAZARD IS PRESENT),Construction,Complete,8/14/2024,IEH,11/6/2024,IEH,60640.00,1356.00,SCA0000073288
9,X147,I.S. 313 - BRONX,DIIT - RESOA,FY20 RESO A TECHNOLOGY UPGRADE,Purch & Install,In-Progress,3/14/2021,DIIR,,DIIR,233000.00,0.00,DSF0000913695
9,X147,I.S. 339 - BRONX,DOE - RESOA,FY24 RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,DOER,250000.00,0.00,DSF0001086776
9,X148,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,SCA CIP,FLOOD ELIMINATION,Scope,Complete,11/21/2018,4/10/2019,2/11/2020,15826,62157.00,62152.00,DSF0000908694
9,X148,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,SCA CIP,FLOOD ELIMINATION,Design,Complete,2/11/2020,7/13/2020,5/14/2021,71215,147121.00,130516.00,DSF0000908694
9,X148,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,SCA CIP,FLOOD ELIMINATION,Construction,In-Progress,1/25/2022,1/24/2023,,917879,817220.00,262950.00,DSF0000908694
9,X148,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,SCA CIP,FLOOD ELIMINATION,"CM,F&E",In-Progress,1/25/2022,1/24/2023,,170124,185856.00,166332.00,DSF0000908694
9,X148,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,SCA CIP,ROOFS,Scope,Complete,6/10/2024,10/25/2024,10/4/2024,216637,99177.00,97642.00,DSF0001081507
9,X148,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,SCA CIP,ROOFS,Design,Complete,11/8/2024,4/15/2025,3/17/2025,1010972,271181.00,271181.00,DSF0001081507
9,X148,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,SCA CIP,ROOFS,Construction,PNS,PNS,PNS,PNS,16031133,16031133.00,65211.00,DSF0001081507
9,X148,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,SCA CIP,ROOFS,"CM,F&E",PNS,PNS,PNS,PNS,1588671,1588671.00,47172.00,DSF0001081507
9,X148,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,SCA CIP,EXTERIOR MASONRY,Scope,Complete,6/10/2024,10/25/2024,10/4/2024,6810,6810.00,6810.00,DSF0001137141
9,X148,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,SCA CIP,EXTERIOR MASONRY,Design,Complete,11/8/2024,4/15/2025,3/12/2025,27239,27239.00,27239.00,DSF0001137141
9,X148,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,SCA CIP,EXTERIOR MASONRY,Construction,PNS,PNS,PNS,PNS,6145,6145.00,157.00,DSF0001137141
9,X148,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,SCA CIP,EXTERIOR MASONRY,"CM,F&E",PNS,PNS,PNS,PNS,3486,3486.00,3486.00,DSF0001137141
9,X148,I.S. 219 - BRONX,SCA CIP RESOA,FY20 RESO A AUDITORIUM UPGRADE,Scope,Complete,4/30/2021,8/31/2021,8/6/2021,0,20965.00,20965.00,DSF0000913505
9,X148,I.S. 219 - BRONX,SCA CIP RESOA,FY20 RESO A AUDITORIUM UPGRADE,Design,Complete,8/17/2021,1/21/2022,2/10/2022,67074,77374.00,75819.00,DSF0000913505
9,X148,I.S. 219 - BRONX,SCA CIP RESOA,FY20 RESO A AUDITORIUM UPGRADE,Construction,Complete,9/13/2022,9/12/2023,5/3/2024,983748,964752.00,836518.00,DSF0000913505
9,X148,I.S. 219 - BRONX,SCA CIP RESOA,FY20 RESO A AUDITORIUM UPGRADE,"CM,F&E",Complete,9/13/2022,9/12/2023,5/3/2024,67074,109084.00,68186.00,DSF0000913505
9,X148,I.S. 215 - BRONX,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Scope,Complete,3/22/2023,6/21/2023,11/9/2023,0,106671.00,106671.00,DSF0001036257
9,X148,I.S. 215 - BRONX,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Design,In-Progress,8/7/2024,12/24/2024,,143830,169253.00,90088.00,DSF0001036257
9,X148,I.S. 215 - BRONX,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,2109501,2109501.00,3733.00,DSF0001036257
9,X148,I.S. 215 - BRONX,SCA CIP RESOA,FY23 RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,143830,143830.00,10293.00,DSF0001036257
9,X148,I.S. 215 - BRONX,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Scope,Complete,5/25/2023,8/25/2023,11/9/2023,0,725.00,725.00,DSF0001036258
9,X148,I.S. 215 - BRONX,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Design,In-Progress,11/22/2024,3/26/2025,,590,2898.00,2898.00,DSF0001036258
9,X148,I.S. 215 - BRONX,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,Construction,PNS,PNS,PNS,PNS,8659,8659.00,0.00,DSF0001036258
9,X148,I.S. 215 - BRONX,SCA CIP RESOA,PATH OF TRAVEL RESO A PLAYGROUND UPGRADE,"CM,F&E",PNS,PNS,PNS,PNS,590,3521.00,3521.00,DSF0001036258
9,X148,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,SCA IEH,PO18-ABATE ACM PIPE INSULATION IN BASMENT PIPE CHASE APPROX: 5 FT EACH,Construction,Complete,9/3/2024,IEH,10/29/2024,IEH,17757.00,2733.00,SCA0000073342
9,X148,I.S. 215 - BRONX,DOE - RESOA,FY24 RESO A BATHROOM UPGRADES,Construction,In-Progress,3/5/2024,DOER,,DOER,692209.00,0.00,DSF0001086777
9,X148,FREDERICK DOUGLASS ACADEMY III SECONDARY SCHOOL,DOE - Skilled Trades,SCHOOL ENTRY LOCKING AND EMERGENCY NOTIFICATION SOLUTION,Construction,Complete,10/25/2024,DOES,11/4/2024,DOES,65832.00,9085.00,DSF0001084865
9,X166,GRANT AVENUE ELEMENTARY SCHOOL,SCA CIP RESOA,PATH OF TRAVEL RESO A SUPPLEMENTAL COOLING,Scope,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087130
9,X166,GRANT AVENUE ELEMENTARY SCHOOL,SCA CIP RESOA,PATH OF TRAVEL RESO A SUPPLEMENTAL COOLING,Design,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087130
9,X166,GRANT AVENUE ELEMENTARY SCHOOL,SCA CIP RESOA,PATH OF TRAVEL RESO A SUPPLEMENTAL COOLING,Construction,PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087130
9,X166,GRANT AVENUE ELEMENTARY SCHOOL,SCA CIP RESOA,PATH OF TRAVEL RESO A SUPPLEMENTAL COOLING,"CM,F&E",PNS,PNS,PNS,PNS,0,0.00,0.00,DSF0001087130
9,X166,GRANT AVENUE ELEMENTARY SCHOOL,DOE - RESOA,FY24 RESO A SUPPLEMENTAL COOLING,Construction,In-Progress,12/20/2023,DOER,,DOER,1400000.00,0.00,DSF0001086783
9,X166,SCIENCE AND TECHNOLOGY ACADEMY: A MOTT HALL SCHOOL,DOE - Skilled Trades,BATHROOM UPGRADE,Construction,In-Progress,7/16/2021,DOES,,DOES,183729.00,0.00,DSF0000865993
9,X166,BRONX EARLY COLLEGE ACADEMY,DOE - Skilled Trades,ACE 6- WIRELESS PNEUMATIC THERMOSTATS,Construction,In-Progress,2/10/2021,DOES,,DOES,193120.00,0.00,DSF0000960498
9,X166,BRONX EARLY COLLEGE ACADEMY,DOE - Skilled Trades,CAFETERIA ENHANCEMENT EXPERIENCE,Construction,In-Progress,5/22/2024,DOES,,DOES,361798.00,0.00,DSF0001085776
